# time 	 <x**4> 	 <x**2> 
985	1.57112e+06	732.972
986	1.59671e+06	731.774
987	1.58119e+06	733.887
988	1.56545e+06	732.863
989	1.57624e+06	736.765
990	1.56541e+06	733.848
991	1.58566e+06	739.001
992	1.57626e+06	739.387
993	1.59764e+06	743.571
994	1.62455e+06	746.876
995	1.64433e+06	748.974
996	1.62205e+06	746.877
997	1.62781e+06	750.635
998	1.60112e+06	750.371
999	1.61145e+06	748.783
1000	1.57256e+06	739.799
